"","Cue_c","Cue_d","LF_c","LF_d","RF_c","RF_d","LH_c","LH_d","RH_c","RH_d","Ton_c","Ton_d","x","y","z"
"V68",0.798815716031467,-2.33477520711207,-2.86403994930283,-3.63757630002058,-0.307003426842274,-3.40535536671774,-3.63455012545211,-4.17970586313171,3.46801671014765,-0.175564614137981,1.33399423088273,-5.5536412438322,66,55,58
"V69",0.529833950913284,-2.37253274115071,-2.82703237268366,-3.52633186724699,0.0758182372313562,-3.01895547592789,-3.54442081620142,-4.18164418730746,3.30180902839584,-0.159055261942966,1.54800974727463,-5.38954662644421,67,55,58
"V70",4.59902232161262,-4.39997681454659,-2.30183327295806,-8.12661077658457,-1.80908247251127,-8.1778022230535,-2.41184980138741,-4.93553342780308,-2.18771463539002,-4.46900639297811,-1.52800294194114,-6.37893573918688,50,56,58
"V71",4.61903289661117,-4.2923484355219,-2.55621661415114,-8.05322536919625,-1.81093528538272,-8.11499175038065,-2.52561154624944,-5.00816108649481,-1.94728041228911,-4.31773604660697,-1.37772000480653,-6.408372711263,51,56,58
"V72",4.58543761860964,-4.15967172806822,-2.78253405039389,-7.91386892823945,-1.81892643266684,-8.00313642704042,-2.63585174429625,-5.04875867787335,-1.64499720930759,-4.11913902850089,-1.20331078506375,-6.42669829903506,52,56,58
"V73",4.49780381612153,-4.00691634459836,-2.97438073390503,-7.71356318090334,-1.83004271137263,-7.84439860662697,-2.74462759310756,-5.05840115042572,-1.28367729530583,-3.87646818842816,-1.00966426742122,-6.43426933819694,53,56,58
"V74",1.59827853678725,-2.57745703936167,-3.00271438123864,-4.30037300100808,-1.06374940274543,-4.53310518003523,-3.53772570226619,-4.1764942942494,3.01223147512941,-0.666385255094687,1.20302566368945,-5.89475173868574,63,56,58
"V75",1.24496305364518,-2.53164938430941,-2.90836934582314,-4.02668162264038,-0.791977531788665,-4.10935437441029,-3.52429881307261,-4.09704874624695,3.16003892400828,-0.474958608659422,1.42434044798257,-5.76943278352328,64,56,58
"V76",0.905679958303433,-2.5121124384914,-2.82122842601483,-3.79736450274266,-0.47551222489456,-3.68223559031753,-3.4818639133043,-4.03900404390864,3.20224068772732,-0.34115270751415,1.64745711174782,-5.63101143234782,65,56,58
"V77",0.58462544313182,-2.51935522034475,-2.74718970209931,-3.61638037447783,-0.116404790567366,-3.25507837888156,-3.40999730678018,-4.00514393207568,3.1354898273291,-0.268391361712498,1.8733645921687,-5.48062723446219,66,56,58
"V78",0.284847425218177,-2.5535306875168,-2.69107151200884,-3.48602302774185,0.281916014350977,-2.83112570338945,-3.30948276018736,-3.99707601411068,2.96081171085125,-0.257732661679449,2.10272934955338,-5.31975072370527,67,56,58
"V79",4.66397819981817,-4.57819434220103,-2.02129813158959,-8.30755415490941,-1.92551698419012,-8.51792790973749,-2.18419388049094,-4.80119777451896,-2.42101371654825,-4.55045712653428,-1.31835304867554,-6.27250490928198,49,57,58
"V80",4.73193783547492,-4.51422311023514,-2.29881817213468,-8.30108980869747,-1.91300787756546,-8.49988986343437,-2.30171686761209,-4.89937363439186,-2.25635589849394,-4.44958477847875,-1.18692641408027,-6.31304234965196,50,57,58
"V81",4.74688541243231,-4.42161124507358,-2.55530708733604,-8.22506229772446,-1.90577337344119,-8.42843734054235,-2.41255127485479,-4.96507627946478,-2.0324794553617,-4.30116718409689,-1.02656437083939,-6.34182128976794,51,57,58
"V82",4.70600945512702,-4.30390993451322,-2.78219266404854,-8.08210502226647,-1.90163579063915,-8.30418263472962,-2.51949646922136,-4.99862991488553,-1.74881918154038,-4.10681738117067,-0.841651059896508,-6.35934170537305,52,57,58
"V83",4.60886900794147,-4.16580333899488,-2.97311723249402,-7.87725299270774,-1.8978911239695,-8.12936554912014,-2.62429461307896,-5.00112204712276,-1.40817632971118,-3.86988959910983,-0.636971155241764,-6.36607352290605,53,57,58
"V84",0.75221848236808,-2.75260394375852,-2.70542752034764,-3.82917886852941,-0.304945844405046,-3.58122309935825,-3.23883095917716,-3.88816250345602,2.79258079241124,-0.471380053616065,2.20414988200105,-5.57952409451237,65,57,58
"V85",0.402379543474433,-2.75807341733101,-2.61553181235529,-3.63098547188415,0.0691796519805892,-3.11812900144481,-3.15710378947293,-3.8449536627864,2.71576356510922,-0.406099567991441,2.4455785568949,-5.43289772313978,66,57,58
"V86",0.0744322560015034,-2.7897407167877,-2.54315977461322,-3.48309835166044,0.481314298518786,-2.65971478067899,-3.04798201486652,-3.82734838881126,2.5344625965176,-0.401205738423064,2.68932607541614,-5.27563505138189,67,57,58
"V87",4.80893789291864,-4.47109428055829,-2.72900308350096,-8.22805885431924,-1.96304525886171,-8.55981180226546,-2.39535332022143,-4.9503873415819,-1.89731860995683,-4.10587011157445,-0.432464264043923,-6.30637695188348,52,58,58
"V88",4.70367659203818,-4.34951949901324,-2.91926026687847,-8.02188962079827,-1.94595624451251,-8.37160795127306,-2.49346551853991,-4.94571328087702,-1.58046401150371,-3.87694641908432,-0.217631337687568,-6.3133745656762,53,58,58
"V89",4.89266916549407,-4.66097647546174,-2.6241272860188,-8.35055708076162,-1.9993299260676,-8.76654416781221,-2.26886520512311,-4.90626924774365,-2.08914057724753,-4.11852120849993,0.0246534194134129,-6.26766144911428,52,59,58
"V90",4.78059524403783,-4.55741204670429,-2.8136637208618,-8.146043706747,-1.97044806439572,-8.56758556915115,-2.35771423765877,-4.89439127722171,-1.79861512107939,-3.89954760464839,0.2486038466569,-6.27591267041564,53,59,58
